company_id,from_pattern,to_pattern,year
INFY,Liquidating Assets,Reinvestor,Mar 2016
INFY,Reinvestor,Liquidating Assets,Mar 2018
INFY,Liquidating Assets,Reinvestor,Mar 2019
IOC,Mixed,Reinvestor,Mar 2014
IOC,Reinvestor,Mixed,Mar 2019
IOC,Mixed,Reinvestor,Mar 2021
IRCTC,Reinvestor,Liquidating Assets,Mar 2016
IRCTC,Liquidating Assets,Reinvestor,Mar 2019
IRCTC,Reinvestor,Liquidating Assets,Mar 2020
IRCTC,Liquidating Assets,Reinvestor,Mar 2021
IRFC,Distress Signal,Unknown,Mar 2021
IRFC,Unknown,Growth Funded by Debt,Mar 2022
IRFC,Growth Funded by Debt,Unknown,Mar 2023
IRFC,Unknown,Reinvestor,Mar 2024
ITC,Reinvestor,Liquidating Assets,Mar 2021
ITC,Liquidating Assets,Reinvestor,Mar 2022
ITC,Reinvestor,Liquidating Assets,Mar 2024
JINDALSTEL,Mixed,Reinvestor,Mar 2016
JINDALSTEL,Reinvestor,Mixed,Mar 2024
JIOFIN,Reinvestor,Unknown,Mar 2024
JSWENERGY,Reinvestor,Liquidating Assets,Mar 2020
JSWENERGY,Liquidating Assets,Reinvestor,Mar 2021
JSWENERGY,Reinvestor,Mixed,Mar 2023
JSWSTEEL,Reinvestor,Mixed,Mar 2014
JSWSTEEL,Mixed,Reinvestor,Mar 2015
JSWSTEEL,Reinvestor,Mixed,Mar 2019
JSWSTEEL,Mixed,Reinvestor,Mar 2021
KOTAKBANK,Mixed,Reinvestor,Mar 2014
KOTAKBANK,Reinvestor,Mixed,Mar 2015
KOTAKBANK,Mixed,Growth Funded by Debt,Mar 2018
KOTAKBANK,Growth Funded by Debt,Mixed,Mar 2019
KOTAKBANK,Mixed,Reinvestor,Mar 2020
KOTAKBANK,Reinvestor,Mixed,Mar 2022
KOTAKBANK,Mixed,Growth Funded by Debt,Mar 2023
KOTAKBANK,Growth Funded by Debt,Mixed,Mar 2024
LICI,Liquidating Assets,Reinvestor,Mar 2020
LICI,Reinvestor,Liquidating Assets,Mar 2021
LICI,Liquidating Assets,Unknown,Mar 2022
LICI,Unknown,Reinvestor,Mar 2023
LODHA,Mixed,Reinvestor,Mar 2017
LODHA,Reinvestor,Mixed,Mar 2018
LODHA,Mixed,Growth Funded by Debt,Mar 2019
LODHA,Growth Funded by Debt,Liquidating Assets,Mar 2020
LODHA,Liquidating Assets,Mixed,Mar 2024
LT,Growth Funded by Debt,Mixed,Mar 2017
LT,Mixed,Distress Signal,Mar 2018
